item_ID	item_name	file_name	cat_exemplar	cat_perc_1	cat_perc_2	cat_sem_1	cat_sem_2	label_exemplar	label_perc_1	label_perc_2	label_sem_1	label_sem_2
1	dalmatian_photo_left	1_Dog_Dalmatian_photo_left.jpg	1	1	1	1	1	dalmatian	photograph	left-facing	living	non-flying
2	frenchbulldog_photo_left	1_Dog_FrenchBulldog_photo_left.jpg	1	1	1	1	1	french bulldog	photograph	left-facing	living	non-flying
3	germanshepherd_photo_left	1_Dog_GermanShepherd_photo_left.jpg	1	1	1	1	1	german shepherd	photograph	left-facing	living	non-flying
4	poodle_photo_left	1_Dog_Poodle_photo_left.jpg	1	1	1	1	1	poodle	photograph	left-facing	living	non-flying
5	owl_photo_left	2_Bird_Owl_photo_left.jpg	2	1	1	1	2	owl	photograph	left-facing	living	flying
6	parrot_photo_left	2_Bird_Parrot_photo_left.jpg	2	1	1	1	2	parrot	photograph	left-facing	living	flying
7	pigeon_photo_left	2_Bird_Pigeon_photo_left.jpg	2	1	1	1	2	pigeon	photograph	left-facing	living	flying
8	stork_photo_left	2_Bird_Stork_photo_left.jpg	2	1	1	1	2	stork	photograph	left-facing	living	flying
9	f1car_photo_left	3_Vehicle_F1car_photo_left.jpg	3	1	1	2	1	formula-1 car	photograph	left-facing	non-living	non-flying
10	minicooper_photo_left	3_Vehicle_MiniCooper_photo_left.jpg	3	1	1	2	1	mini cooper	photograph	left-facing	non-living	non-flying
11	pickuptruck_photo_left	3_Vehicle_PickupTruck_photo_left.jpg	3	1	1	2	1	pickup truck	photograph	left-facing	non-living	non-flying
12	van_photo_left	3_Vehicle_Van_photo_left.jpg	3	1	1	2	1	van	photograph	left-facing	non-living	non-flying
13	passengerjet_photo_left	4_Aircraft_Boeing_photo_left.jpg	4	1	1	2	2	passenger jet	photograph	left-facing	non-living	flying
14	fighterjet_photo_left	4_Aircraft_FighterJet_photo_left.jpg	4	1	1	2	2	fighter jet	photograph	left-facing	non-living	flying
15	helicopter_photo_left	4_Aircraft_Helicopter_photo_left.jpg	4	1	1	2	2	helicopter	photograph	left-facing	non-living	flying
16	propellerplane_photo_left	4_Aircraft_PropellerPlane_photo_left.jpg	4	1	1	2	2	propeller plane	photograph	left-facing	non-living	flying
17	dalmatian_drawing_left	1_Dog_Dalmatian_drawing_left.jpg	1	2	1	1	1	dalmatian	drawing	left-facing	living	non-flying
18	frenchbulldog_drawing_left	1_Dog_FrenchBulldog_drawing_left.jpg	1	2	1	1	1	french bulldog	drawing	left-facing	living	non-flying
19	germanshepherd_drawing_left	1_Dog_GermanShepherd_drawing_left.jpg	1	2	1	1	1	german shepherd	drawing	left-facing	living	non-flying
20	poodle_drawing_left	1_Dog_Poodle_drawing_left.jpg	1	2	1	1	1	poodle	drawing	left-facing	living	non-flying
21	owl_drawing_left	2_Bird_Owl_drawing_left.jpg	2	2	1	1	2	owl	drawing	left-facing	living	flying
22	parrot_drawing_left	2_Bird_Parrot_drawing_left.jpg	2	2	1	1	2	parrot	drawing	left-facing	living	flying
23	pigeon_drawing_left	2_Bird_Pigeon_drawing_left.jpg	2	2	1	1	2	pigeon	drawing	left-facing	living	flying
24	stork_drawing_left	2_Bird_Stork_drawing_left.jpg	2	2	1	1	2	stork	drawing	left-facing	living	flying
25	f1car_drawing_left	3_Vehicle_F1car_drawing_left.jpg	3	2	1	2	1	formula-1 car	drawing	left-facing	non-living	non-flying
26	minicooper_drawing_left	3_Vehicle_MiniCooper_drawing_left.jpg	3	2	1	2	1	mini cooper	drawing	left-facing	non-living	non-flying
27	pickuptruck_drawing_left	3_Vehicle_PickupTruck_drawing_left.jpg	3	2	1	2	1	pickup truck	drawing	left-facing	non-living	non-flying
28	van_drawing_left	3_Vehicle_Van_drawing_left.jpg	3	2	1	2	1	van	drawing	left-facing	non-living	non-flying
29	passengerjet_drawing_left	4_Aircraft_Boeing_drawing_left.jpg	4	2	1	2	2	passenger jet	drawing	left-facing	non-living	flying
30	fighterjet_drawing_left	4_Aircraft_FighterJet_drawing_left.jpg	4	2	1	2	2	fighter jet	drawing	left-facing	non-living	flying
31	helicopter_drawing_left	4_Aircraft_Helicopter_drawing_left.jpg	4	2	1	2	2	helicopter	drawing	left-facing	non-living	flying
32	propellerplane_drawing_left	4_Aircraft_PropellerPlane_drawing_left.jpg	4	2	1	2	2	propeller plane	drawing	left-facing	non-living	flying
33	dalmatian_photo_right	1_Dog_Dalmatian_photo_right.jpg	1	1	2	1	1	dalmatian	photograph	right-facing	living	non-flying
34	frenchbulldog_photo_right	1_Dog_FrenchBulldog_photo_right.jpg	1	1	2	1	1	french bulldog	photograph	right-facing	living	non-flying
35	germanshepherd_photo_right	1_Dog_GermanShepherd_photo_right.jpg	1	1	2	1	1	german shepherd	photograph	right-facing	living	non-flying
36	poodle_photo_right	1_Dog_Poodle_photo_right.jpg	1	1	2	1	1	poodle	photograph	right-facing	living	non-flying
37	owl_photo_right	2_Bird_Owl_photo_right.jpg	2	1	2	1	2	owl	photograph	right-facing	living	flying
38	parrot_photo_right	2_Bird_Parrot_photo_right.jpg	2	1	2	1	2	parrot	photograph	right-facing	living	flying
39	pigeon_photo_right	2_Bird_Pigeon_photo_right.jpg	2	1	2	1	2	pigeon	photograph	right-facing	living	flying
40	stork_photo_right	2_Bird_Stork_photo_right.jpg	2	1	2	1	2	stork	photograph	right-facing	living	flying
41	f1car_photo_right	3_Vehicle_F1car_photo_right.jpg	3	1	2	2	1	formula-1 car	photograph	right-facing	non-living	non-flying
42	minicooper_photo_right	3_Vehicle_MiniCooper_photo_right.jpg	3	1	2	2	1	mini cooper	photograph	right-facing	non-living	non-flying
43	pickuptruck_photo_right	3_Vehicle_PickupTruck_photo_right.jpg	3	1	2	2	1	pickup truck	photograph	right-facing	non-living	non-flying
44	van_photo_right	3_Vehicle_Van_photo_right.jpg	3	1	2	2	1	van	photograph	right-facing	non-living	non-flying
45	passengerjet_photo_right	4_Aircraft_Boeing_photo_right.jpg	4	1	2	2	2	passenger jet	photograph	right-facing	non-living	flying
46	fighterjet_photo_right	4_Aircraft_FighterJet_photo_right.jpg	4	1	2	2	2	fighter jet	photograph	right-facing	non-living	flying
47	helicopter_photo_right	4_Aircraft_Helicopter_photo_right.jpg	4	1	2	2	2	helicopter	photograph	right-facing	non-living	flying
48	propellerplane_photo_right	4_Aircraft_PropellerPlane_photo_right.jpg	4	1	2	2	2	propeller plane	photograph	right-facing	non-living	flying
49	dalmatian_drawing_right	1_Dog_Dalmatian_drawing_right.jpg	1	2	2	1	1	dalmatian	drawing	right-facing	living	non-flying
50	frenchbulldog_drawing_right	1_Dog_FrenchBulldog_drawing_right.jpg	1	2	2	1	1	french bulldog	drawing	right-facing	living	non-flying
51	germanshepherd_drawing_right	1_Dog_GermanShepherd_drawing_right.jpg	1	2	2	1	1	german shepherd	drawing	right-facing	living	non-flying
52	poodle_drawing_right	1_Dog_Poodle_drawing_right.jpg	1	2	2	1	1	poodle	drawing	right-facing	living	non-flying
53	owl_drawing_right	2_Bird_Owl_drawing_right.jpg	2	2	2	1	2	owl	drawing	right-facing	living	flying
54	parrot_drawing_right	2_Bird_Parrot_drawing_right.jpg	2	2	2	1	2	parrot	drawing	right-facing	living	flying
55	pigeon_drawing_right	2_Bird_Pigeon_drawing_right.jpg	2	2	2	1	2	pigeon	drawing	right-facing	living	flying
56	stork_drawing_right	2_Bird_Stork_drawing_right.jpg	2	2	2	1	2	stork	drawing	right-facing	living	flying
57	f1car_drawing_right	3_Vehicle_F1car_drawing_right.jpg	3	2	2	2	1	formula-1 car	drawing	right-facing	non-living	non-flying
58	minicooper_drawing_right	3_Vehicle_MiniCooper_drawing_right.jpg	3	2	2	2	1	mini cooper	drawing	right-facing	non-living	non-flying
59	pickuptruck_drawing_right	3_Vehicle_PickupTruck_drawing_right.jpg	3	2	2	2	1	pickup truck	drawing	right-facing	non-living	non-flying
60	van_drawing_right	3_Vehicle_Van_drawing_right.jpg	3	2	2	2	1	van	drawing	right-facing	non-living	non-flying
61	passengerjet_drawing_right	4_Aircraft_Boeing_drawing_right.jpg	4	2	2	2	2	passenger jet	drawing	right-facing	non-living	flying
62	fighterjet_drawing_right	4_Aircraft_FighterJet_drawing_right.jpg	4	2	2	2	2	fighter jet	drawing	right-facing	non-living	flying
63	helicopter_drawing_right	4_Aircraft_Helicopter_drawing_right.jpg	4	2	2	2	2	helicopter	drawing	right-facing	non-living	flying
64	propellerplane_drawing_right	4_Aircraft_PropellerPlane_drawing_right.jpg	4	2	2	2	2	propeller plane	drawing	right-facing	non-living	flying
