item_ID	item_name	file_name	cat_exemplar	cat_perc_1	cat_perc_2	cat_sem_1	cat_sem_2	label_exemplar	label_perc_1	label_perc_2	label_sem_1	label_sem_2
1	chihuahua_photo_left	1_Dog_Chihuahua_photo_left.jpg	1	1	1	1	1	chihuahua	photograph	left-facing	living	non-flying
2	hummingbird_photo_left	2_Bird_Hummingbird_photo_left.jpg	2	1	1	1	2	hummingbird	photograph	left-facing	living	flying
3	sportscar_photo_left	3_Vehicle_Sportscar_photo_left.jpg	3	1	1	2	1	sportscar	photograph	left-facing	non-living	non-flying
4	zeppelin_photo_left	4_Aircraft_Zeppelin_photo_left.jpg	4	1	1	2	2	zeppelin	photograph	left-facing	non-living	flying
5	chihuahua_drawing_left	1_Dog_Chihuahua_drawing_left.jpg	1	2	1	1	1	chihuahua	drawing	left-facing	living	non-flying
6	hummingbird_drawing_left	2_Bird_Hummingbird_drawing_left.jpg	2	2	1	1	2	hummingbird	drawing	left-facing	living	flying
7	sportscar_drawing_left	3_Vehicle_Sportscar_drawing_left.jpg	3	2	1	2	1	sportscar	drawing	left-facing	non-living	non-flying
8	zeppelin_drawing_left	4_Aircraft_Zeppelin_drawing_left.jpg	4	2	1	2	2	zeppelin	drawing	left-facing	non-living	flying
9	chihuahua_photo_right	1_Dog_Chihuahua_photo_right.jpg	1	1	2	1	1	chihuahua	photograph	right-facing	living	non-flying
10	hummingbird_photo_right	2_Bird_Hummingbird_photo_right.jpg	2	1	2	1	2	hummingbird	photograph	right-facing	living	flying
11	sportscar_photo_right	3_Vehicle_Sportscar_photo_right.jpg	3	1	2	2	1	sportscar	photograph	right-facing	non-living	non-flying
12	zeppelin_photo_right	4_Aircraft_Zeppelin_photo_right.jpg	4	1	2	2	2	zeppelin	photograph	right-facing	non-living	flying
13	chihuahua_drawing_right	1_Dog_Chihuahua_drawing_right.jpg	1	2	2	1	1	chihuahua	drawing	right-facing	living	non-flying
14	hummingbird_drawing_right	2_Bird_Hummingbird_drawing_right.jpg	2	2	2	1	2	hummingbird	drawing	right-facing	living	flying
15	sportscar_drawing_right	3_Vehicle_Sportscar_drawing_right.jpg	3	2	2	2	1	sportscar	drawing	right-facing	non-living	non-flying
16	zeppelin_drawing_right	4_Aircraft_Zeppelin_drawing_right.jpg	4	2	2	2	2	zeppelin	drawing	right-facing	non-living	flying
